"תחנה","תאריך","סוג קרינה","קרינה שעתית 05-06 (וואט/מ""ר)","קרינה שעתית 06-07 (וואט/מ""ר)","קרינה שעתית 07-08 (וואט/מ""ר)","קרינה שעתית 08-09 (וואט/מ""ר)","קרינה שעתית 09-10 (וואט/מ""ר)","קרינה שעתית 10-11 (וואט/מ""ר)","קרינה שעתית 11-12 (וואט/מ""ר)","קרינה שעתית 12-13 (וואט/מ""ר)","קרינה שעתית 13-14 (וואט/מ""ר)","קרינה שעתית 14-15 (וואט/מ""ר)","קרינה שעתית 15-16 (וואט/מ""ר)","קרינה שעתית 16-17 (וואט/מ""ר)"
"בית דגן קרינה 01/1991-01/2023","01/01/2022","גלובלית","0","1","32","90","241","215","265","244","232","143","48","2"
"בית דגן קרינה 01/1991-01/2023","02/01/2022","גלובלית","0","3","30","195","364","418","552","534","455","327","160","21"
"בית דגן קרינה 01/1991-01/2023","03/01/2022","גלובלית","0","3","90","266","114","71","551","558","407","362","193","23"
"בית דגן קרינה 01/1991-01/2023","04/01/2022","גלובלית","0","2","42","210","351","529","535","126","125","148","82","18"
"בית דגן קרינה 01/1991-01/2023","05/01/2022","גלובלית","0","0","9","22","34","55","122","174","186","125","61","10"
"בית דגן קרינה 01/1991-01/2023","06/01/2022","גלובלית","0","3","99","284","445","551","596","580","503","358","127","22"
"בית דגן קרינה 01/1991-01/2023","07/01/2022","גלובלית","0","3","88","283","447","553","602","590","509","376","198","31"
"בית דגן קרינה 01/1991-01/2023","08/01/2022","גלובלית","0","3","91","286","451","553","593","572","480","351","181","27"
"בית דגן קרינה 01/1991-01/2023","09/01/2022","גלובלית","0","3","95","288","442","550","585","503","361","186","111","46"
"בית דגן קרינה 01/1991-01/2023","10/01/2022","גלובלית","0","3","91","279","442","559","604","579","500","372","195","35"
"בית דגן קרינה 01/1991-01/2023","11/01/2022","גלובלית","0","4","94","274","436","549","602","590","508","377","203","39"
"בית דגן קרינה 01/1991-01/2023","12/01/2022","גלובלית","0","4","95","271","448","429","595","596","519","327","191","41"
"בית דגן קרינה 01/1991-01/2023","13/01/2022","גלובלית","0","3","88","161","275","505","576","536","447","363","139","19"
"בית דגן קרינה 01/1991-01/2023","14/01/2022","גלובלית","0","3","33","130","87","54","126","125","82","82","78","32"
"בית דגן קרינה 01/1991-01/2023","15/01/2022","גלובלית","0","1","19","91","199","139","591","241","112","173","17","9"
"בית דגן קרינה 01/1991-01/2023","16/01/2022","גלובלית","0","0","14","43","81","79","140","78","134","96","20","6"
"בית דגן קרינה 01/1991-01/2023","17/01/2022","גלובלית","0","4","114","319","487","604","658","647","566","429","246","54"
"בית דגן קרינה 01/1991-01/2023","18/01/2022","גלובלית","0","4","148","308","478","593","534","477","560","414","235","55"
"בית דגן קרינה 01/1991-01/2023","19/01/2022","גלובלית","0","1","13","54","149","248","417","239","302","222","84","11"
"בית דגן קרינה 01/1991-01/2023","20/01/2022","גלובלית","0","6","73","237","365","541","541","570","430","276","193","19"
"בית דגן קרינה 01/1991-01/2023","21/01/2022","גלובלית","0","4","131","319","484","601","658","653","540","410","252","60"
"בית דגן קרינה 01/1991-01/2023","22/01/2022","גלובלית","0","5","133","307","485","602","667","634","559","444","259","49"
"בית דגן קרינה 01/1991-01/2023","23/01/2022","גלובלית","0","4","124","323","433","576","591","251","206","34","33","13"
"בית דגן קרינה 01/1991-01/2023","24/01/2022","גלובלית","0","3","14","55","101","101","231","140","158","80","58","17"
"בית דגן קרינה 01/1991-01/2023","25/01/2022","גלובלית","0","5","128","329","494","618","669","654","576","437","225","52"
"בית דגן קרינה 01/1991-01/2023","26/01/2022","גלובלית","0","7","69","262","405","670","468","248","215","94","27","21"
"בית דגן קרינה 01/1991-01/2023","27/01/2022","גלובלית","0","3","18","118","268","227","295","551","423","287","132","20"
"בית דגן קרינה 01/1991-01/2023","28/01/2022","גלובלית","0","2","26","78","121","194","218","174","130","139","42","21"
"בית דגן קרינה 01/1991-01/2023","29/01/2022","גלובלית","0","1","27","142","205","281","468","410","327","241","145","99"
"בית דגן קרינה 01/1991-01/2023","30/01/2022","גלובלית","0","7","128","324","495","616","670","666","587","454","274","85"
"בית דגן קרינה 01/1991-01/2023","31/01/2022","גלובלית","0","8","81","250","298","419","540","593","572","459","244","50"